time,type,user_name,pc_name,win_title,win_urlpath,win_hwnd,win_class,app_path,app_pid,capimg,period,ope_action,ope_value,ope_boxw,ope_boxh,ope_boxt,ope_boxl,html_type,html_tag,html_value,html_id,html_name,html_title,html_class,excel_book,excel_sheet,excel_cellpos,captureChangeFlg,pastOpeAdjust,getlabel,plugin,explanation,snapshot_id,snapshot_label,base_file,target_file,manipId,paramM,paramN,similarity
2024-04-15T13:44:38+0900,window_open,Ryoma Takahashi,DESKTOP-Q316RCS,ShortCut - Tablacus Explorer,,66644,TablacusExplorer,D:\te240227\TE64.exe,1964,,,,,,,,,,,,,,,,,,,,,,,,null,null,C:\Users\vumic\Downloads\ツール資材_20240903\04_デモ用操作ログ\UC3\UC3_他組織\bdot20240415_134437.log,null,null,null,null,null
2024-04-15T13:44:38+0900,window_open,Ryoma Takahashi,DESKTOP-Q316RCS,XX社業務システム - Google Chrome,,197686,Chrome_WidgetWin_1,C:\Program Files\Google\Chrome\Application\chrome.exe,11596,,,,,,,,,,,,,,,,,,,,,,,,null,null,C:\Users\vumic\Downloads\ツール資材_20240903\04_デモ用操作ログ\UC3\UC3_他組織\bdot20240415_134437.log,null,null,null,null,null
2024-04-15T13:44:38+0900,window_open,Ryoma Takahashi,DESKTOP-Q316RCS,mainpage.html - Documents_BIST_Tsukuba2024 (ワークスペース) - Visual Studio Code,,9440070,Chrome_WidgetWin_1,C:\Users\Ryoma Takahashi\AppData\Local\Programs\Microsoft VS Code\Code.exe,2032,,,,,,,,,,,,,,,,,,,,,,,,null,null,C:\Users\vumic\Downloads\ツール資材_20240903\04_デモ用操作ログ\UC3\UC3_他組織\bdot20240415_134437.log,null,null,null,null,null
2024-04-15T13:44:38+0900,window_open,Ryoma Takahashi,DESKTOP-Q316RCS,セットアップ,,8850290,TApplication,C:\Users\RYOMAT~1\AppData\Local\Temp\is-VRVIS.tmp\CodeSetup-stable-e170252f762678dec6ca2cc69aba1570769a5d39.tmp,13240,,,,,,,,,,,,,,,,,,,,,,,,null,null,C:\Users\vumic\Downloads\ツール資材_20240903\04_デモ用操作ログ\UC3\UC3_他組織\bdot20240415_134437.log,null,null,null,null,null
2024-04-15T13:44:38+0900,window_open,Ryoma Takahashi,DESKTOP-Q316RCS,Program Manager,C:\Users\Ryoma Takahashi\Desktop,65824,Progman,C:\Windows\explorer.exe,1564,,,,,,,,,,,,,,,,,,,,,,,,null,null,C:\Users\vumic\Downloads\ツール資材_20240903\04_デモ用操作ログ\UC3\UC3_他組織\bdot20240415_134437.log,null,null,null,null,null
2024-04-15T13:44:39+0900,window_active,Ryoma Takahashi,DESKTOP-Q316RCS,XX社業務システム - Google Chrome,,197686,Chrome_WidgetWin_1,C:\Program Files\Google\Chrome\Application\chrome.exe,11596,bdot20240415_134437/0415_134439_0.png,,,,,,,,,,,,,,,,,,,,,,,null,null,C:\Users\vumic\Downloads\ツール資材_20240903\04_デモ用操作ログ\UC3\UC3_他組織\bdot20240415_134437.log,null,null,null,null,null
2024-04-15T13:44:45+0900,operation,Ryoma Takahashi,DESKTOP-Q316RCS,XX社業務システム - Google Chrome,file:///D:/Work/AS%E7%A0%94/Git/Documents_BIST_Tsukuba2024/99_%E3%81%9D%E3%81%AE%E4%BB%96/20240404_%E6%A5%AD%E5%8B%99%E6%94%B9%E5%96%84%E3%83%87%E3%83%A2%E3%82%B7%E3%83%8A%E3%83%AA%E3%82%AA_%E8%8D%89%E6%A1%88/mainpage.html,197686,Chrome_WidgetWin_1,C:\Program Files\Google\Chrome\Application\chrome.exe,11596,bdot20240415_134437/0415_134445_0.png,,click,商品納入・工事予約管理システム,300,53,215,52,submit,BUTTON,,reserve,,,button1,,,,true,[],"{""labelinfo"":""""}",,「商品納入・工事予約管理システム」を押下する,null,null,C:\Users\vumic\Downloads\ツール資材_20240903\04_デモ用操作ログ\UC3\UC3_他組織\bdot20240415_134437.log,null,null,null,null,null
2024-04-15T13:44:52+0900,operation,Ryoma Takahashi,DESKTOP-Q316RCS,予約管理システム - ログイン画面 - Google Chrome,file:///D:/Work/AS%E7%A0%94/Git/Documents_BIST_Tsukuba2024/99_%E3%81%9D%E3%81%AE%E4%BB%96/20240404_%E6%A5%AD%E5%8B%99%E6%94%B9%E5%96%84%E3%83%87%E3%83%A2%E3%82%B7%E3%83%8A%E3%83%AA%E3%82%AA_%E8%8D%89%E6%A1%88/reserve/loginpage_reserve.html,197686,Chrome_WidgetWin_1,C:\Program Files\Google\Chrome\Application\chrome.exe,11596,bdot20240415_134437/0415_134452_0.png,,value_change,claim,181,27,199,178,text,INPUT,claim,,,,textbox,,,,true,[],"{""labelinfo"":""予約管理システム""}",,「予約管理システム」へ「claim」を入力する,null,null,C:\Users\vumic\Downloads\ツール資材_20240903\04_デモ用操作ログ\UC3\UC3_他組織\bdot20240415_134437.log,null,null,null,null,null
2024-04-15T13:44:54+0900,operation,Ryoma Takahashi,DESKTOP-Q316RCS,予約管理システム - ログイン画面 - Google Chrome,file:///D:/Work/AS%E7%A0%94/Git/Documents_BIST_Tsukuba2024/99_%E3%81%9D%E3%81%AE%E4%BB%96/20240404_%E6%A5%AD%E5%8B%99%E6%94%B9%E5%96%84%E3%83%87%E3%83%A2%E3%82%B7%E3%83%8A%E3%83%AA%E3%82%AA_%E8%8D%89%E6%A1%88/reserve/loginpage_reserve.html,197686,Chrome_WidgetWin_1,C:\Program Files\Google\Chrome\Application\chrome.exe,11596,bdot20240415_134437/0415_134452_0.png,,value_change,<PASSWORD>,181,27,226,178,password,INPUT,<PASSWORD>,,,,textbox,,,,false,"[{""ope_boxh"":27,""ope_boxl"":178,""ope_boxt"":199,""ope_boxw"":181}]","{""labelinfo"":""予約管理システム""}",,「予約管理システム」へ「<PASSWORD>」を入力する,null,null,C:\Users\vumic\Downloads\ツール資材_20240903\04_デモ用操作ログ\UC3\UC3_他組織\bdot20240415_134437.log,null,null,null,null,null
2024-04-15T13:44:54+0900,operation,Ryoma Takahashi,DESKTOP-Q316RCS,予約管理システム - ログイン画面 - Google Chrome,file:///D:/Work/AS%E7%A0%94/Git/Documents_BIST_Tsukuba2024/99_%E3%81%9D%E3%81%AE%E4%BB%96/20240404_%E6%A5%AD%E5%8B%99%E6%94%B9%E5%96%84%E3%83%87%E3%83%A2%E3%82%B7%E3%83%8A%E3%83%AA%E3%82%AA_%E8%8D%89%E6%A1%88/reserve/loginpage_reserve.html,197686,Chrome_WidgetWin_1,C:\Program Files\Google\Chrome\Application\chrome.exe,11596,bdot20240415_134437/0415_134452_0.png,,click,送信,56,37,253,82,submit,BUTTON,,,,,button,,,,false,"[{""ope_boxh"":27,""ope_boxl"":178,""ope_boxt"":199,""ope_boxw"":181},{""ope_boxh"":27,""ope_boxl"":178,""ope_boxt"":226,""ope_boxw"":181}]","{""labelinfo"":""予約管理システム""}",,「送信」を押下する,null,null,C:\Users\vumic\Downloads\ツール資材_20240903\04_デモ用操作ログ\UC3\UC3_他組織\bdot20240415_134437.log,null,null,null,null,null
